DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																0.019591093063354492	0.019978761672973633																																																				03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																		0.020421266555786133	28.990057706832886	0.0	Willkommen zum Experiment!	heading	None	None																																													03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																													03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Weiblich	5.915827035903931																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				age	Wie alt sind Sie?	free text	None	None	28	None																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	19.151771306991577																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	20.67408585548401																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				vision_glasses	Tragen Sie eine Brille?	radio	None	None	Nein	7.735823631286621																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Ja	7.90673041343689																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																				handedness	Sind Sie rechtshändig?	radio	None	None	Ja	6.018748044967651																																											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
