thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,0.056827545166015625,0.057099103927612305,,,,,,,,,,,,,,,,,,,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,0.3334970474243164,,,,#F989A2,24.350302934646606,None,space,None,None,1013.2408142089844,text_38,1,1,Reading_Baseline_main_click,None,Schon,0,0,0,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,25.397698163986206,None,space,None,None,829.8969268798828,text_38,2,1,Reading_Baseline_main_click,None,vor,1,0,1,60,60,25.46023392677307,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,26.26448392868042,None,space,None,None,618.994951248169,text_38,3,1,Reading_Baseline_main_click,None,mehr,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,26.9235999584198,None,space,None,None,663.9113426208496,text_38,4,1,Reading_Baseline_main_click,None,als,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,27.62837815284729,None,space,None,None,454.98108863830566,text_38,5,1,Reading_Baseline_main_click,None,3000,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,28.122565031051636,None,space,None,None,536.9417667388916,text_38,6,1,Reading_Baseline_main_click,None,Jahren,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,28.700603723526,None,space,None,None,598.8960266113281,text_38,7,1,Reading_Baseline_main_click,None,behandelten,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,29.33908724784851,None,space,None,None,488.3873462677002,text_38,8,1,Reading_Baseline_main_click,None,Menschen,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,29.868346214294434,None,space,None,None,519.2582607269287,text_38,9,1,Reading_Baseline_main_click,None,die,1,0,1,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
