thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,end.stopped,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.050689697265625,0.050991058349609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,0.21655845642089844,,,,#F989A2,16.055422067642212,False,space,correct rejection,None,839.0495777130127,text_34,1,1,2back_dual_main_click,2,Die,0,0,0,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,16.931110620498657,False,space,correct rejection,None,555.2148818969727,text_34,2,1,2back_dual_main_click,2,Geschichte,1,0,1,6,3,16.989400386810303,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,17.522926568984985,False,space,correct rejection,None,539.6633148193359,text_34,3,1,2back_dual_main_click,2,von,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,18.10089898109436,False,space,correct rejection,None,521.6214656829834,text_34,4,1,2back_dual_main_click,2,Clive,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,18.661978721618652,False,space,correct rejection,None,520.5488204956055,text_34,5,1,2back_dual_main_click,2,Woodall,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,19.22420573234558,False,space,correct rejection,None,662.3013019561768,text_34,6,1,2back_dual_main_click,2,erinnert,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,19.926010131835938,True,space,miss,None,584.4836235046387,text_34,7,1,2back_dual_main_click,2,ein,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,20.552207708358765,False,space,correct rejection,None,598.3154773712158,text_34,8,1,2back_dual_main_click,2,wenig,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,21.191436767578125,True,space,miss,None,615.0784492492676,text_34,9,1,2back_dual_main_click,2,an,1,0,1,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,21.847089529037476,True,space,miss,None,535.412073135376,text_34,10,1,2back_dual_main_click,2,die,1,1,2,6,3,21.98909330368042,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,22.421297550201416,False,space,correct rejection,None,521.2290287017822,text_34,11,1,2back_dual_main_click,2,von,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,22.980716466903687,False,space,correct rejection,None,489.8252487182617,text_34,12,1,2back_dual_main_click,2,Joanne,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,23.51131296157837,False,space,correct rejection,None,503.19504737854004,text_34,13,1,2back_dual_main_click,2,K.,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,24.058088064193726,False,space,correct rejection,None,548.5401153564453,text_34,14,1,2back_dual_main_click,2,"Rowling,",1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,24.645503759384155,False,space,correct rejection,None,552.9725551605225,text_34,15,1,2back_dual_main_click,2,der,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,25.239140272140503,False,space,correct rejection,None,471.49109840393066,text_34,16,1,2back_dual_main_click,2,""Mutter"",1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,25.752907752990723,False,space,correct rejection,None,485.66627502441406,text_34,17,1,2back_dual_main_click,2,Harry,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,26.27915382385254,False,space,correct rejection,None,647.4037170410156,text_34,18,1,2back_dual_main_click,2,Potters.,1,1,2,6,3,,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,26.967256784439087,False,space,correct rejection,None,567.2693252563477,text_34,19,1,2back_dual_main_click,2,Quasi,2,1,3,6,3,27.017805099487305,,,,,,,,,,02,03,yes,no,no,2025-06-12_09h51.33.509,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-12 09h51.46.940149 +0200,
