thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,0.13827991485595703,0.1384122371673584,,,,,,,,,,,,,,,,,,,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,0.30846118927001953,,,,#F989A2,9.37219524383545,None,space,None,None,655.3475856781006,text_13,1,1,Reading_Baseline_main_click,None,Nina,0,0,0,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,10.061092615127563,None,space,None,None,622.1683025360107,text_13,2,1,Reading_Baseline_main_click,None,ist,1,0,1,60,60,10.113182783126831,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,10.715616703033447,None,space,None,None,511.91043853759766,text_13,3,1,Reading_Baseline_main_click,None,seit,1,0,1,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,11.265300750732422,None,space,None,None,730.114221572876,text_13,4,1,Reading_Baseline_main_click,None,22,1,0,1,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,12.035447835922241,None,space,None,None,727.989912033081,text_13,5,1,Reading_Baseline_main_click,None,Jahren,1,0,1,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,12.806225776672363,None,space,None,None,677.2174835205078,text_13,6,1,Reading_Baseline_main_click,None,Schauspielerin.,1,0,1,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,13.52421236038208,None,space,None,None,935.2586269378662,text_13,7,1,Reading_Baseline_main_click,None,Hollywood,1,0,1,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,14.499666929244995,None,space,None,None,839.714527130127,text_13,8,1,Reading_Baseline_main_click,None,interessiert,2,0,2,60,60,15.113048553466797,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,15.378213882446289,None,space,None,None,681.241512298584,text_13,9,1,Reading_Baseline_main_click,None,sie,2,0,2,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,16.100001573562622,None,space,None,None,711.2748622894287,text_13,10,1,Reading_Baseline_main_click,None,nicht,2,0,2,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,16.851942539215088,None,space,None,None,679.5785427093506,text_13,11,1,Reading_Baseline_main_click,None,mehr,2,0,2,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,17.571649074554443,None,space,None,None,647.8281021118164,text_13,12,1,Reading_Baseline_main_click,None,weil,2,0,2,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,18.26024341583252,None,space,None,None,743.065595626831,text_13,13,1,Reading_Baseline_main_click,None,sie,2,0,2,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,19.04231595993042,None,space,None,None,1081.110954284668,text_13,14,1,Reading_Baseline_main_click,None,eine,3,0,3,60,60,20.113067626953125,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,20.163657665252686,None,space,None,None,759.6912384033203,text_13,15,1,Reading_Baseline_main_click,None,Karriere,3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,20.962748527526855,None,space,None,None,920.7532405853271,text_13,16,1,Reading_Baseline_main_click,None,als,3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,21.923420906066895,None,space,None,None,743.9112663269043,text_13,17,1,Reading_Baseline_main_click,None,""Nazi"",3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,22.706789255142212,None,space,None,None,696.6190338134766,text_13,18,1,Reading_Baseline_main_click,None,befürchtet.,3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,23.441953897476196,None,space,None,None,745.3036308288574,text_13,19,1,Reading_Baseline_main_click,None,Sie,3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,24.228574991226196,None,space,None,None,694.6969032287598,text_13,20,1,Reading_Baseline_main_click,None,bevorzugt,3,0,3,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,24.96256113052368,None,space,None,None,872.8063106536865,text_13,21,1,Reading_Baseline_main_click,None,"künstlerische,",4,0,4,60,60,25.113049030303955,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,25.875828981399536,None,space,None,None,951.4613151550293,text_13,22,1,Reading_Baseline_main_click,None,französische,4,0,4,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,26.8684504032135,None,space,None,None,662.8403663635254,text_13,23,1,Reading_Baseline_main_click,None,und,4,0,4,60,60,,05,01,yes,no,no,2025-06-30_13h55.57.887,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-30 13h58.39.374608 +0200,
