thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,end.stopped,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.03898310661315918,0.03911542892456055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,0.290179967880249,,,,#2AB7EF,13.412532329559326,None,space,None,None,963.8965129852295,text_42,1,1,Reading_Baseline_main_click,None,Kann,0,0,0,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,14.41099238395691,None,space,None,None,573.1396675109863,text_42,2,1,Reading_Baseline_main_click,None,ein,1,0,1,60,60,14.465700626373291,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,15.019722938537598,None,space,None,None,476.73892974853516,text_42,3,1,Reading_Baseline_main_click,None,Meteorit,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,15.534381866455078,None,space,None,None,522.0251083374023,text_42,4,1,Reading_Baseline_main_click,None,vor,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,16.095110416412354,None,space,None,None,665.3823852539062,text_42,5,1,Reading_Baseline_main_click,None,Millionen,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,16.800353527069092,None,space,None,None,504.058837890625,text_42,6,1,Reading_Baseline_main_click,None,von,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,17.344510555267334,None,space,None,None,455.669641494751,text_42,7,1,Reading_Baseline_main_click,None,Jahren,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,17.838239192962646,None,space,None,None,522.0797061920166,text_42,8,1,Reading_Baseline_main_click,None,eine,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,18.40082287788391,None,space,None,None,583.3632946014404,text_42,9,1,Reading_Baseline_main_click,None,Wärmephase,1,0,1,60,60,,,,,,,,,,,21,01,yes,no,no,2025-06-26_13h37.08.866,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-26 13h40.05.365460 +0200,
