thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.03528118133544922,0.03580427169799805,,,,,,,,,,,,,,,,,,,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,0.14327120780944824,,,,#D292F3,11.007695436477661,None,space,None,None,3271.552562713623,text_37,1,1,Reading_Baseline_main_click,None,Yasuhiro,0,0,0,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,14.30345368385315,None,space,None,None,423.59375953674316,text_37,2,1,Reading_Baseline_main_click,None,Sato,1,0,1,6,6,14.356734037399292,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,14.754610061645508,None,space,None,None,404.4327735900879,text_37,3,1,Reading_Baseline_main_click,None,stellt,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,15.187356233596802,None,space,None,None,323.7001895904541,text_37,4,1,Reading_Baseline_main_click,None,in,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,15.537593603134155,None,space,None,None,277.47631072998047,text_37,5,1,Reading_Baseline_main_click,None,Tokio,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,15.84587836265564,None,space,None,None,433.17604064941406,text_37,6,1,Reading_Baseline_main_click,None,täuschend,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,16.304686307907104,None,space,None,None,390.3307914733887,text_37,7,1,Reading_Baseline_main_click,None,echte,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,16.72156810760498,None,space,None,None,277.4503231048584,text_37,8,1,Reading_Baseline_main_click,None,Plastiknachbildungen,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,17.029908180236816,None,space,None,None,1169.1441535949707,text_37,9,1,Reading_Baseline_main_click,None,von,1,0,1,6,6,,,,,,,,,,07,02,yes,no,no,2025-06-04_10h38.32.349,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-04 10h48.07.046619 +0200,
