participant,session,roi,mean_field
sub-01,offline,AG,87.3970140731394
sub-01,offline_online,AG,87.3970140731394
sub-01,offline_online,DLPFC,122.351317355243
sub-02,offline_online,DLPFC,67.5630750694609
sub-02,offline_online,AG,75.0851942708002
sub-02,offline,AG,75.0851942708002
sub-03,offline_online,DLPFC,64.0805072811073
sub-03,offline_online,AG,54.1509271436562
sub-03,offline,AG,54.1509271436562
sub-04,offline,AG,71.6025212242862
sub-04,offline_online,DLPFC,74.4234232141491
sub-04,offline_online,AG,92.8838264507288
sub-05,offline_online,DLPFC,50.5592047786058
sub-05,offline_online,AG,67.2862606058149
sub-05,offline,AG,69.1399320490665
sub-06,offline,AG,82.4015560284567
sub-06,offline_online,DLPFC,75.5472981823415
sub-06,offline_online,AG,82.4015560284567
sub-07,offline,AG,82.4359075478062
sub-07,offline_online,DLPFC,53.2777250908447
sub-07,offline_online,AG,82.4359075478062
sub-08,offline_online,AG,100.962933656976
sub-08,offline_online,DLPFC,89.0457977745928
sub-08,offline,AG,82.1513402455514
sub-09,offline_online,DLPFC,74.7310843277248
sub-09,offline_online,AG,77.6896412939704
sub-09,offline,AG,77.6896412939704
sub-10,offline,AG,98.9189468997817
sub-10,offline_online,DLPFC,97.1905248012894
sub-10,offline_online,AG,104.010276323645
sub-11,offline_online,DLPFC,97.8488853630569
sub-11,offline_online,AG,124.097573401154
sub-11,offline,AG,124.097573401154
sub-12,offline_online,DLPFC,59.283767709076
sub-12,offline_online,AG,64.1426902947658
sub-12,offline,AG,64.1426902947658
sub-13,offline_online,AG,77.052219059937
sub-13,offline_online,DLPFC,85.6520989647199
sub-13,offline,AG,77.052219059937
sub-14,offline,AG,68.6484161949497
sub-14,offline_online,AG,68.6484161949497
sub-14,offline_online,DLPFC,44.4923973055556
sub-15,offline,AG,68.6686185201386
sub-15,offline_online,AG,59.0524295518075
sub-15,offline_online,DLPFC,117.446460509718
sub-16,offline_online,AG,78.5416743675597
sub-16,offline_online,DLPFC,89.4531255020402
sub-16,offline,AG,78.5416743675597
sub-17,offline_online,DLPFC,89.7974506024512
sub-17,offline_online,AG,94.7531647948006
sub-17,offline,AG,102.80955675071
sub-18,offline_online,AG,56.9357155044508
sub-18,offline,AG,61.2608090622874
sub-18,offline_online,DLPFC,61.3483125108091
sub-19,offline_online,AG,74.997760956617
sub-19,offline_online,DLPFC,92.5355653223408
sub-19,offline,AG,74.997760956617
sub-20,offline,AG,84.0998811550541
sub-20,offline_online,DLPFC,62.1869589570148
sub-20,offline_online,AG,84.0998811550541
sub-21,offline,AG,55.1621164664501
sub-21,offline_online,AG,55.1621164664501
sub-21,offline_online,DLPFC,66.5165007029118
sub-22,offline,AG,79.5166990628041
sub-22,offline_online,AG,79.5166990628041
sub-22,offline_online,DLPFC,66.3823891044982
sub-23,offline_online,AG,50.7940384646755
sub-23,offline_online,DLPFC,60.1191403474126
sub-23,offline,AG,50.7940384646755
sub-24,offline,AG,85.9206155170743
sub-24,offline_online,AG,85.9206155170743
sub-24,offline_online,DLPFC,78.715221205248
sub-25,offline_online,DLPFC,88.3508714147794
sub-25,offline_online,AG,90.7308964610501
sub-25,offline,AG,90.7308964610501
