ID,text_nr,trial_nr,word,word_no_punct,surprisal_2_words_context,entropy_2_words_context
0,text_01,1,Der,Der,,
1,text_01,2,Anblick,Anblick,,
2,text_01,3,der,der,1.6573942899704,3.91074752807617
3,text_01,4,Tiere,Tiere,7.58599853515625,7.6755895614624
4,text_01,5,jagte,jagte,12.1712362766266,5.62888526916504
5,text_01,6,Seeleuten,Seeleuten,16.3297266960144,4.50195741653442
6,text_01,7,vergangener,vergangener,10.3236970901489,5.40360260009766
7,text_01,8,Jahrhunderte,Jahrhunderte,1.30411064624786,2.42541813850403
8,text_01,9,zurecht,zurecht,10.7822132110596,6.07052373886108
9,text_01,10,Angst,Angst,12.5769357681274,4.53293132781982
10,text_01,11,ein.,ein,4.34566450119019,3.9441511631012
11,text_01,12,Vor,Vor,8.43118000030518,4.9229097366333
12,text_01,13,der,der,8.43144607543945,5.87178182601929
13,text_01,14,Küste,Küste,5.12243366241455,6.94622421264648
14,text_01,15,Chiles,Chiles,9.89453065395355,5.43086576461792
15,text_01,16,tauchen,tauchen,13.5713834762573,3.3872926235199
16,text_01,17,derzeit,derzeit,6.90611743927002,4.76032400131226
17,text_01,18,ungewöhnlich,ungewöhnlich,8.20464992523193,5.60721874237061
18,text_01,19,viele,viele,2.79680824279785,5.29585790634155
19,text_01,20,große,große,6.52216577529907,7.84022760391235
20,text_01,21,Kalmare,Kalmare,16.2529577687383,7.01440620422363
21,text_01,22,auf.,auf,5.72377920150757,4.40596675872803
22,text_01,23,Normalerweise,Normalerweise,19.1849904060364,4.52014255523682
23,text_01,24,leben,leben,6.91741418838501,5.80086231231689
24,text_01,25,sie,sie,2.38643574714661,4.72510147094727
25,text_01,26,im,im,4.19558429718018,5.98036527633667
26,text_01,27,offenen,offenen,8.28532791137695,7.25820636749268
27,text_01,28,Meer,Meer,4.50202560424805,7.21159076690674
28,text_01,29,und,und,2.44186496734619,4.6627049446106
29,text_01,30,sind,sind,6.39915132522583,6.92656946182251
30,text_01,31,nur,nur,4.67025089263916,6.29083061218262
31,text_01,32,nachts,nachts,9.72151756286621,5.47400093078613
32,text_01,33,aktiv.,aktiv,6.32672882080078,4.73408317565918
33,text_01,34,Jetzt,Jetzt,18.6613845825195,3.34556245803833
34,text_01,35,aber,aber,6.49639511108398,6.51059770584106
35,text_01,36,jagen,jagen,9.14029693603516,5.70367431640625
36,text_01,37,sie,sie,2.77860999107361,4.24546146392822
37,text_01,38,auch,auch,4.04667854309082,5.49298906326294
38,text_01,39,tagsüber,tagsüber,8.64119529724121,6.01355361938477
39,text_01,40,in,in,3.85489130020142,5.86603164672852
40,text_01,41,flachen,flachen,11.9689626693726,4.33974170684814
41,text_01,42,Gewässern,Gewässern,4.22731590270996,7.09646701812744
42,text_01,43,sehr,sehr,6.85929679870606,5.23579692840576
43,text_01,44,zum,zum,6.50312232971191,5.78035879135132
44,text_01,45,Ärger,Ärger,3.72107362747192,5.46474885940552
45,text_01,46,der,der,1.09413504600525,3.29302430152893
46,text_01,47,Fischer.,Fischer,8.27020263671875,6.54059219360352
47,text_01,48,Die,Die,9.35185813903809,5.98707103729248
48,text_01,49,Kalmare,Kalmare,15.5120701789856,8.26860904693604
49,text_01,50,fressen,fressen,6.56716299057007,4.37480163574219
50,text_01,51,große,große,5.34504127502441,5.99215412139893
51,text_01,52,Mengen,Mengen,2.24652552604675,6.37359523773193
52,text_01,53,an,an,1.83417010307312,5.57702684402466
53,text_01,54,Sardinen,Sardinen,10.8333875983953,7.51454162597656
54,text_01,55,Sardellen,Sardellen,11.8012158274651,5.64465713500977
55,text_01,56,und,und,3.17565011978149,4.67051553726196
56,text_01,57,Hechten.,Hechten,10.2641401290894,5.82292318344116
57,text_01,58,Der,Der,11.6064739227295,4.55437469482422
58,text_01,59,Grund,Grund,4.9112982749939,7.91988325119019
