text_nr;word;frequency;zipf_frequency
text_01;der;0.0288;7.46
text_01;anblick;0.0000129;4.11
text_01;der;0.0288;7.46
text_01;tiere;0.0000708;4.85
text_01;jagte;0.00000191;3.28
text_01;seeleuten;0.000000309;2.49
text_01;vergangener;0.00000263;3.42
text_01;jahrhunderte;0.0000107;4.03
text_01;zurecht;0.000017;4.23
text_01;angst;0.000148;5.17
text_01;ein;0.00813;6.91
text_01;vor;0.00204;6.31
text_01;der;0.0288;7.46
text_01;küste;0.00002;4.3
text_01;chiles;0.000000832;2.92
text_01;tauchen;0.00000955;3.98
text_01;derzeit;0.0000741;4.87
text_01;ungewöhnlich;0.0000162;4.21
text_01;viele;0.000676;5.83
text_01;große;0.000355;5.55
text_01;kalmare;0.0000000355;1.55
text_01;auf;0.00776;6.89
text_01;normalerweise;0.0000324;4.51
text_01;leben;0.000724;5.86
text_01;sie;0.00661;6.82
text_01;im;0.00724;6.86
text_01;offenen;0.000038;4.58
text_01;meer;0.0000525;4.72
text_01;und;0.0263;7.42
text_01;sind;0.00398;6.6
text_01;nur;0.00331;6.52
text_01;nachts;0.0000389;4.59
text_01;aktiv;0.0000776;4.89
text_01;jetzt;0.00162;6.21
text_01;aber;0.00427;6.63
text_01;jagen;0.0000105;4.02
text_01;sie;0.00661;6.82
text_01;auch;0.00603;6.78
text_01;tagsüber;0.00000977;3.99
text_01;in;0.0174;7.24
text_01;flachen;0.00000724;3.86
text_01;gewässern;0.00000372;3.57
text_01;sehr;0.00138;6.14
text_01;zum;0.00257;6.41
text_01;ärger;0.0000234;4.37
text_01;der;0.0288;7.46
text_01;fischer;0.0000417;4.62
text_01;die;0.0302;7.48
text_01;kalmare;0.0000000355;1.55
text_01;fressen;0.0000135;4.13
text_01;große;0.000355;5.55
text_01;mengen;0.0000191;4.28
text_01;an;0.0049;6.69
text_01;sardinen;0.000000339;2.53
text_01;sardellen;0.000000427;2.63
text_01;und;0.0263;7.42
text_01;hechten;0.000000141;2.15
text_01;der;0.0288;7.46
text_01;grund;0.000234;5.37
text_01;für;0.00759;6.88
text_01;ihr;0.00166;6.22
text_01;plötzliches;0.00000049;2.69
text_01;auftreten;0.0000331;4.52
text_01;das;0.0145;7.16
text_01;meer;0.0000525;4.72
text_01;war;0.00339;6.53
text_01;im;0.00724;6.86
text_01;februar;0.000102;5.01
text_01;ungewöhnlich;0.0000162;4.21
text_01;warm;0.0000324;4.51
text_01;weshalb;0.0000407;4.61
text_01;sich;0.00617;6.79
text_01;viele;0.000676;5.83
text_01;kleine;0.000263;5.42
text_01;beutefische;0.0000000107;1.03
text_01;nahe;0.0000813;4.91
text_01;der;0.0288;7.46
text_01;küste;0.00002;4.3
text_01;sammelten;0.00000229;3.36
text_01;die;0.0302;7.48
text_01;kalmare;0.0000000355;1.55
text_01;wurden;0.000646;5.81
text_01;davon;0.00038;5.58
text_01;angelockt;0.000001;3
text_01;für;0.00759;6.88
text_01;meeresbiologen;0.0000000891;1.95
text_01;ist;0.012;7.08
text_01;das;0.0145;7.16
text_01;eine;0.00631;6.8
text_01;seltene;0.00000891;3.95
text_01;gelegenheit;0.000049;4.69
text_01;diese;0.00158;6.2
text_01;tiere;0.0000708;4.85
text_01;aus;0.00398;6.6
text_01;der;0.0288;7.46
text_01;nähe;0.000107;5.03
text_01;zu;0.0102;7.01
text_01;beobachten;0.0000316;4.5
text_01;denn;0.000933;5.97
text_01;große;0.000355;5.55
text_01;kalmare;0.0000000355;1.55
text_01;lassen;0.000575;5.76
text_01;sich;0.00617;6.79
text_01;nur;0.00331;6.52
text_01;schwer;0.000195;5.29
text_01;filmen;0.0000234;4.37
text_01;ein;0.00813;6.91
text_01;biologe;0.00000135;3.13
text_01;aus;0.00398;6.6
text_01;neuseeland;0.00000851;3.93
text_01;will;0.000912;5.96
text_01;versuchen;0.00011;5.04
text_01;sie;0.00661;6.82
text_01;mit;0.00955;6.98
text_01;sexualhormonen;0.0000000468;1.67
text_01;vor;0.00204;6.31
text_01;die;0.0302;7.48
text_01;kamera;0.0000575;4.76
text_01;zu;0.0102;7.01
text_01;locken;0.0000107;4.03
text_01;der;0.0288;7.46
text_01;riesenkalmar;0.0000000123;1.09
text_01;gilt;0.000195;5.29
text_01;als;0.00513;6.71
text_01;das;0.0145;7.16
text_01;größte;0.0000933;4.97
text_01;wirbellose;0.000000162;2.21
text_01;tier;0.0000407;4.61
text_01;der;0.0288;7.46
text_01;welt;0.000457;5.66
text_01;er;0.00513;6.71
text_01;kann;0.00251;6.4
text_01;bis;0.0017;6.23
text_01;zu;0.0102;7.01
text_01;20;0.000156;5.19
text_01;meter;0.000115;5.06
text_01;lang;0.000214;5.33
text_01;und;0.0263;7.42
text_01;500;0.00000236;3.37
text_01;kilogramm;0.00000794;3.9
text_01;schwer;0.000195;5.29
text_01;werden;0.00309;6.49
text_01;wurde;0.00155;6.19
text_01;jedoch;0.000363;5.56
text_01;noch;0.00355;6.55
text_01;nie;0.000468;5.67
text_01;in;0.0174;7.24
text_01;freier;0.0000234;4.37
text_01;wildbahn;0.00000126;3.1
text_01;gefilmt;0.00000562;3.75
text_02;ernest;0.00000174;3.24
text_02;hemingway;0.00000105;3.02
text_02;lebte;0.0000214;4.33
text_02;rund;0.000186;5.27
text_02;zwanzig;0.0000148;4.17
text_02;jahre;0.000661;5.82
text_02;in;0.0174;7.24
text_02;kuba;0.00000871;3.94
text_02;hauptsächlich;0.000049;4.69
text_02;in;0.0174;7.24
text_02;seinem;0.000427;5.63
text_02;haus;0.000257;5.41
text_02;finca;0.000000692;2.84
text_02;vigía;0;0
text_02;bei;0.00457;6.66
text_02;havanna;0.00000224;3.35
text_02;dort;0.000603;5.78
text_02;lagern;0.00000955;3.98
text_02;etwa;0.000417;5.62
text_02;3000;0.0000000541;1.73
text_02;manuskripte;0.00000182;3.26
text_02;des;0.0055;6.74
text_02;autors;0.00000776;3.89
text_02;die;0.0302;7.48
text_02;nach;0.00363;6.56
text_02;und;0.0263;7.42
text_02;nach;0.00363;6.56
text_02;digitalisiert;0.00000126;3.1
text_02;wurden;0.000646;5.81
text_02;viele;0.000676;5.83
text_02;davon;0.00038;5.58
text_02;sind;0.00398;6.6
text_02;bislang;0.0000417;4.62
text_02;unveröffentlicht;0.000000437;2.64
text_02;nun;0.000759;5.88
text_02;sollen;0.000324;5.51
text_02;sie;0.00661;6.82
text_02;zunächst;0.000174;5.24
text_02;in;0.0174;7.24
text_02;kuba;0.00000871;3.94
text_02;ausgestellt;0.0000107;4.03
text_02;und;0.0263;7.42
text_02;später;0.000316;5.5
text_02;der;0.0288;7.46
text_02;bibliothek;0.0000251;4.4
text_02;in;0.0174;7.24
text_02;boston;0.00000871;3.94
text_02;übergeben;0.000024;4.38
text_02;werden;0.00309;6.49
text_02;bereits;0.000468;5.67
text_02;2002;0.0000381;4.58
text_02;wurde;0.00155;6.19
text_02;die;0.0302;7.48
text_02;digitalisierung;0.0000126;4.1
text_02;zwischen;0.000676;5.83
text_02;kuba;0.00000871;3.94
text_02;und;0.0263;7.42
text_02;den;0.01;7
text_02;usa;0.000214;5.33
text_02;vereinbart;0.000012;4.08
text_02;laut;0.00017;5.23
text_02;der;0.0288;7.46
text_02;new;0.000126;5.1
text_02;york;0.0000759;4.88
text_02;times;0.0000138;4.14
text_02;befinden;0.0000525;4.72
text_02;sich;0.00617;6.79
text_02;unter;0.00126;6.1
text_02;den;0.01;7
text_02;dokumenten;0.00000692;3.84
text_02;notizen;0.00000741;3.87
text_02;briefe;0.0000191;4.28
text_02;und;0.0263;7.42
text_02;entwürfe;0.00000631;3.8
text_02;die;0.0302;7.48
text_02;teilweise;0.0000977;4.99
text_02;auf;0.00776;6.89
text_02;lose;0.00000832;3.92
text_02;blätter;0.0000174;4.24
text_02;geschrieben;0.0001;5
text_02;wurden;0.000646;5.81
text_02;hemingway;0.00000105;3.02
text_02;schrieb;0.0000501;4.7
text_02;auf;0.00776;6.89
text_02;kuba;0.00000871;3.94
text_02;seine;0.00107;6.03
text_02;berühmte;0.0000132;4.12
text_02;novelle;0.00000513;3.71
text_02;der;0.0288;7.46
text_02;alte;0.00017;5.23
text_02;mann;0.000537;5.73
text_02;und;0.0263;7.42
text_02;das;0.0145;7.16
text_02;meer;0.0000525;4.72
text_02;in;0.0174;7.24
text_02;der;0.0288;7.46
text_02;ein;0.00813;6.91
text_02;fischer;0.0000417;4.62
text_02;tagelang;0.00000427;3.63
text_02;gegen;0.00107;6.03
text_02;einen;0.00302;6.48
text_02;riesigen;0.0000195;4.29
text_02;schwertfisch;0.000000166;2.22
text_02;kämpft;0.0000178;4.25
text_02;die;0.0302;7.48
text_02;figur;0.0000347;4.54
text_02;des;0.0055;6.74
text_02;fischers;0.00000138;3.14
text_02;ist;0.012;7.08
text_02;an;0.0049;6.69
text_02;gregorio;0.000000437;2.64
text_02;fuentes;0.000000479;2.68
text_02;angelehnt;0.00000263;3.42
text_02;der;0.0288;7.46
text_02;sich;0.00617;6.79
text_02;um;0.00288;6.46
text_02;hemingway's;0;0
text_02;boot;0.0000331;4.52
text_02;kümmerte;0.00000398;3.6
text_02;dieser;0.0011;6.04
text_02;roman;0.0000457;4.66
text_02;brachte;0.0000661;4.82
text_02;hemingway;0.00000105;3.02
text_02;den;0.01;7
text_02;literaturnobelpreis;0.00000024;2.38
text_02;ein;0.00813;6.91
text_02;aus;0.00398;6.6
text_02;verbundenheit;0.00000389;3.59
text_02;zu;0.0102;7.01
text_02;kuba;0.00000871;3.94
text_02;schenkte;0.00000575;3.76
text_02;er;0.00513;6.71
text_02;die;0.0302;7.48
text_02;medaille;0.0000105;4.02
text_02;der;0.0288;7.46
text_02;wallfahrtskirche;0.00000102;3.01
text_02;der;0.0288;7.46
text_02;jungfrau;0.0000102;4.01
text_02;von;0.00977;6.99
text_02;cobre;0.0000000257;1.41
text_02;die;0.0302;7.48
text_02;medaille;0.0000105;4.02
